Idade;Altura;Peso
Menos de 1 ano;67;8,1
1 ano;81,5;11,5
2 anos;92;13,9
3 anos;98,9;16
4 anos;106,2;18
5 anos;112;19,9
6 anos;118,3;22,2
7 anos;124,9;25,1
8 anos;129,7;27,7
9 anos;135,2;31,6
10 anos;139,9;33,4
11 anos;143,6;36,8
12 anos;151;42
13 anos;157,5;47,4
14 anos;164,1;52,3
15 anos;167,8;57
16 anos;170;60,1
17 anos;171,8;63,1
18 anos;172,6;65,3
19 anos;172;65,9
20 a 24 anos;173;69,4
25 a 29 anos;173;72,7
30 a 34 anos;171,6;74,2
35 a 44 anos;171;74,6
45 a 54 anos;169,9;74,6
55 a 64 anos;168,2;73,1
65 a 74 anos;166,9;70,3
75 anos ou mais;165,7;66,8